DATE,SALES,COST_OF_SALES,DAILY_GP_PERCENT
30/6/2014,93619.84699,90294.37609,3.55210033700
30/6/2015,212465.08320,225678.93450,-6.21930488600
30/6/2016,282757.71140,305894.18010,-8.18243597500
30/7/2014,198019.33210,205903.82490,-3.98167831200
30/7/2015,55134.08182,57064.75070,-3.50177025900
30/7/2016,95343.59551,81874.28886,14.12712262200
30/8/2014,717096.71280,797788.89200,-11.25262154500
30/8/2015,202249.67720,220152.18680,-8.85168760100
30/8/2016,133961.96700,142299.91780,-6.22411792400
30/9/2014,358024.98130,384823.43990,-7.48508065100
30/9/2015,323548.78530,368434.88590,-13.87305489600
30/9/2016,155918.38260,151036.44550,3.13108500700
31/1/2014,137693.87350,135609.50760,1.51376807600
31/1/2015,200193.61200,203814.73640,-1.80881116200
31/1/2016,218104.06690,238662.19210,-9.42583304000
31/10/2014,166652.39480,163319.71650,1.99977822300
31/10/2015,391656.21260,429832.83480,-9.74748286200
31/10/2016,70020.59601,62316.15134,11.00311209700
31/12/2013,300345.48460,306986.12050,-2.21099908000
31/12/2014,365055.31200,398013.34830,-9.02823085100
31/12/2015,325457.52500,353929.73840,-8.74836536700
31/3/2014,190719.61450,187072.59520,1.91224133400
31/3/2015,355534.91200,386988.91470,-8.84695191300
31/3/2016,131168.48550,138589.10010,-5.65731514800
31/5/2014,603748.78950,626259.38680,-3.72847079600
31/5/2015,264637.36530,284828.65970,-7.62979724200
31/5/2016,258970.65410,274386.01540,-5.95255140100
31/7/2014,295508.32730,307222.39540,-3.96403993300
31/7/2015,145033.61080,149876.87330,-3.33940696500
31/7/2016,59514.99233,51145.40334,14.06299263800
31/8/2014,358170.99630,398562.60740,-11.27718646000
31/8/2015,332559.76500,361970.28590,-8.84367984200
31/8/2016,236305.15640,250572.45340,-6.03765792400
4/1/2014,307043.93540,313652.34830,-2.15226947600
4/1/2015,178394.81200,194427.44800,-8.98716494100
4/1/2016,274990.14650,299576.24140,-8.94071850000
4/10/2014,656245.82840,705891.30030,-7.56507237900
4/10/2015,202902.62490,232360.32720,-14.51814746800
4/10/2016,96620.98693,85491.83324,11.51836060000
4/11/2014,99244.68185,90949.44225,8.35837190000
4/11/2015,201367.78700,220579.99560,-9.54085501300
4/11/2016,168349.26530,156675.59010,6.93420026500
4/12/2014,54996.62169,54503.02855,0.89749720000
4/12/2015,317690.76090,345449.52990,-8.73766958800
4/2/2014,130126.64990,128496.28770,1.25290415200
4/2/2015,82514.10512,83232.39137,-0.87050116900
4/2/2016,197778.13370,209372.29220,-5.86220442200
4/3/2014,310346.12130,323325.02990,-4.18207533800
4/3/2015,258211.44420,278825.60670,-7.98344262500
4/3/2016,142127.64210,144039.41370,-1.34510892600
4/4/2014,190559.88750,187742.30000,1.47858373400
4/4/2015,400302.03950,434872.72890,-8.63615120300
4/4/2016,131638.01960,130700.18890,0.71243148700
4/5/2014,93082.04396,91601.50654,1.59057252800
4/5/2015,320309.27440,336742.60240,-5.13045650400
4/5/2016,285968.48780,305506.99820,-6.83239980400
4/6/2014,286405.99880,296902.67250,-3.66496293500
4/6/2015,201146.48930,216428.50040,-7.59745355400
