DATE,SALES,QUANTITY_SOLD,DAILY_UNIT_PRICE
2/4/2014,155620.50380,4575,34.01541066667
2/4/2015,715032.18990,18936,37.76046630228
2/4/2016,195831.09750,5259,37.23732601255
2/5/2014,163849.03580,4581,35.76708923816
2/5/2015,461667.00390,12217,37.78890103135
2/5/2016,283284.58130,8298,34.13889868643
2/6/2014,425845.19600,13256,32.12471303561
2/6/2015,334318.89780,8863,37.72073765091
2/6/2016,278071.38660,8120,34.24524465517
2/7/2014,104760.70620,2990,35.03702548495
2/7/2015,250481.61770,6639,37.72881724657
2/7/2016,454543.28580,13609,33.40019735469
2/8/2014,628685.21880,19384,32.43320361123
2/8/2015,88154.33871,2258,39.04089402569
2/8/2016,70641.25372,1679,42.07340900536
2/9/2014,469469.94100,15291,30.70237008698
2/9/2015,345776.25030,10102,34.22849438725
2/9/2016,370355.00170,10830,34.19713773777
20/1/2014,83356.42456,2443,34.12051762587
20/1/2015,97826.80880,2376,41.17289932660
20/1/2016,159590.49010,4776,33.41509424204
20/10/2014,101723.91500,2773,36.68370537324
20/10/2015,42054.68047,1067,39.41394608247
20/10/2016,38648.13752,906,42.65798843267
20/11/2014,51040.88137,1361,37.50248447465
20/11/2015,301033.98650,8567,35.13878679818
20/12/2014,316167.07470,8268,38.23984938316
20/12/2015,155312.78390,4382,35.44335552259
20/2/2014,78940.55442,2310,34.17340018182
20/2/2015,293071.75920,7770,37.71837312741
20/2/2016,325215.07680,9260,35.12041866091
20/3/2014,180394.82770,5149,35.03492478151
20/3/2015,96881.01809,2353,41.17340335317
20/3/2016,54845.78930,1304,42.05965437117
20/4/2014,114279.57730,3429,33.32737745698
20/4/2015,57233.40664,1365,41.92923563370
20/4/2016,166395.44580,4838,34.39343650269
20/5/2014,178123.53210,5550,32.09433010811
20/5/2015,166176.28380,4394,37.81890846609
20/5/2016,96830.90242,2302,42.06381512598
20/6/2014,203165.08300,6119,33.20233420494
20/6/2015,169304.27830,4027,42.04228415694
20/6/2016,143809.72060,4097,35.10122543324
20/7/2014,85078.24369,2428,35.04046280478
20/7/2015,69926.65036,1787,39.13075006156
20/7/2016,42723.52446,1016,42.05071305118
20/8/2014,171587.33230,5151,33.31146035721
20/8/2015,24754.95718,643,38.49915580093
20/8/2016,249981.24970,7220,34.62344178670
20/9/2014,153569.06190,4383,35.03743141684
20/9/2015,41855.92876,1078,38.82739217069
20/9/2016,37923.76586,940,40.34443176596
21/1/2014,89922.01429,2638,34.08719268006
21/1/2015,62795.97915,1525,41.17769124590
21/1/2016,67046.27342,1628,41.18321463145
21/10/2014,103395.69130,2815,36.73026333925
21/10/2015,53678.17911,1361,39.44024916238
21/10/2016,96020.54537,2249,42.69477339707
21/11/2014,53973.92224,1281,42.13420939891
21/11/2015,309518.07210,8811,35.12859744637
21/12/2014,173833.40010,4541,38.28086326800
21/12/2015,289243.38310,8196,35.29079832845
21/2/2014,317916.31790,9802,32.43382145481
21/2/2015,267782.15400,7102,37.70517516193
21/2/2016,96957.29584,2308,42.00922696707
21/3/2014,200939.69240,5735,35.03743546643
21/3/2015,121360.88510,2947,41.18116223278
21/3/2016,48037.79990,1143,42.02782143482
21/4/2014,161170.82040,4834,33.34108820852
21/4/2015,56874.34546,1353,42.03573204730
21/4/2016,167796.35480,4914,34.14659234839
21/5/2014,194878.80260,6070,32.10523930807
21/5/2015,84604.37757,2012,42.04988944831
21/5/2016,99380.39460,2363,42.05687456623
21/6/2014,203345.24460,6161,33.00523366337
21/6/2015,89512.24284,2128,42.06402389098
21/6/2016,123252.15110,3509,35.12457996580
21/7/2014,86738.06743,2475,35.04568381010
21/7/2015,71973.04430,1846,38.98864804984
21/7/2016,35169.91581,836,42.06927728469
21/8/2014,164208.06060,4928,33.32144086851
21/8/2015,76691.28303,2006,38.23094866899
21/8/2016,136480.24910,3958,34.48212458312
21/9/2014,75633.32059,2159,35.03164455303
21/9/2015,44303.46649,1124,39.41589545374
21/9/2016,50084.81270,1241,40.35843086221
22/1/2014,57806.30278,1704,33.92388660798
22/1/2015,66550.98983,1616,41.18254321163
22/1/2016,266949.23880,7806,34.19795526518
22/10/2014,99075.59910,2701,36.68108074787
22/10/2015,55930.16864,1419,39.41519988724
22/10/2016,105662.59420,2472,42.74376788026
22/11/2014,47497.98253,1122,42.33331776292
22/11/2015,152504.63170,4345,35.09887956272
22/12/2014,204565.08180,5014,40.79877977663
22/12/2015,313125.33250,8863,35.32949706646
22/2/2014,309217.87560,9772,31.64325374540
22/2/2015,136052.68840,3608,37.70861651885
22/2/2016,85224.47709,2028,42.02390389053
22/3/2014,172953.92470,4936,35.03928782415
22/3/2015,66954.36637,1626,41.17734709102
22/3/2016,65905.72326,1573,41.89810760331
22/4/2014,182483.14650,5475,33.33025506849
22/4/2015,132737.73700,3439,38.59777173597
22/4/2016,351146.01700,10269,34.19476258643
22/5/2014,115475.09690,3421,33.75477839813
22/5/2015,321821.02030,8526,37.74583864649
22/5/2016,61656.18133,1466,42.05742246248
22/6/2014,134944.48900,4015,33.61008443337
22/6/2015,85984.07534,2046,42.02545226784
22/6/2016,40067.15121,953,42.04318070304
22/7/2014,56673.61581,1618,35.02695661928
22/7/2015,44304.89836,1142,38.79588297723
22/7/2016,61148.20501,1454,42.05516162999
22/8/2014,376778.83570,11309,33.31672435229
22/8/2015,102231.21180,2677,38.18872312290
22/8/2016,127369.80260,3672,34.68676541394
22/9/2014,90815.92981,2592,35.03700995756
22/9/2015,46599.29813,1182,39.42411009306
22/9/2016,41885.82828,1039,40.31359795958
23/1/2014,63977.75035,1872,34.17614869124
23/1/2015,154670.89070,3757,41.16872257120
23/1/2016,315272.22480,9210,34.23151192182
23/10/2014,97476.14472,2651,36.76957552622
23/10/2015,185771.00150,5042,36.84470477985
23/10/2016,54738.48352,1280,42.76444025000
23/11/2014,31219.95153,737,42.36085689281
23/11/2015,79711.58341,1937,41.15208229737
23/12/2014,316394.73090,7778,40.67816031113
23/12/2015,268330.39270,6534,41.06678798592
23/2/2014,138491.55000,4270,32.43361826698
23/2/2015,86703.31409,2150,40.32712283256
23/2/2016,54612.87884,1301,41.97761632590
23/3/2014,70194.79954,2003,35.04483252122
23/3/2015,81342.15076,1976,41.16505605263
23/3/2016,84870.05130,2065,41.09929845036
23/4/2014,109358.41250,3121,35.03954261455
23/4/2015,60310.33895,1434,42.05741907252
23/4/2016,420738.82180,12317,34.15919637899
23/5/2014,430521.02450,13384,32.16684283473
23/5/2015,418715.41060,11096,37.73570751622
23/5/2016,69163.55737,1644,42.07029037105
